productId,name,subType,rarity,printing,marketPrice,lowPrice,highPrice,lastUpdated
575144,Quarter Century Bonanza Booster Pack,Normal,,,7.62,7.62,19.36,
575145,Quarter Century Bonanza Booster Box,Normal,,,188.39,188.94,294.0,
592167,Destiny HERO - Malicious (PCR),1st Edition,,,1.04,0.74,13.9,
592168,Destiny HERO - Malicious (Platinum Secret Rare),1st Edition,,,3.09,2.31,19.99,
592169,Destiny HERO - Malicious (Quarter Century Secret Rare),1st Edition,,,13.3,12.5,69.95,
592170,Destiny HERO - Malicious (Secret Rare),1st Edition,,,0.4,0.1,5.0,
592171,Destiny HERO - Malicious,1st Edition,,,0.21,0.05,3.0,
592172,Destiny HERO - Malicious (PUR),1st Edition,,,1.21,0.75,14.0,
592173,Destiny HERO - Malicious (UR),1st Edition,,,0.21,0.02,501.5,
592174,Armageddon Knight (PCR),1st Edition,,,0.6,0.4,14.8,
592175,Armageddon Knight (Platinum Secret Rare),1st Edition,,,1.27,1.07,9.99,
592176,Armageddon Knight (Quarter Century Secret Rare),1st Edition,,,5.74,4.9,39.99,
592177,Armageddon Knight (Secret Rare),1st Edition,,,0.31,0.15,9.99,
592178,Armageddon Knight,1st Edition,,,0.12,0.05,3.0,
592179,Armageddon Knight (PUR),1st Edition,,,0.56,0.19,14.0,
592180,Armageddon Knight (UR),1st Edition,,,0.25,0.01,5.0,
592181,Fabled Lurrie (PCR),1st Edition,,,0.73,0.25,13.9,
592182,Fabled Lurrie (Platinum Secret Rare),1st Edition,,,2.07,1.18,14.95,
592183,Fabled Lurrie (Quarter Century Secret Rare),1st Edition,,,4.21,3.0,35.99,
592184,Fabled Lurrie (Secret Rare),1st Edition,,,0.42,0.1,4.0,
592185,Fabled Lurrie,1st Edition,,,0.18,0.08,1.53,
592186,Fabled Lurrie (PUR),1st Edition,,,0.61,0.34,14.0,
592187,Fabled Lurrie (UR),1st Edition,,,0.18,0.04,4.99,
592188,Deep Sea Diva (PCR),1st Edition,,,0.57,0.25,13.9,
592189,Deep Sea Diva (Platinum Secret Rare),1st Edition,,,1.22,0.75,14.99,
592190,Deep Sea Diva (Quarter Century Secret Rare),1st Edition,,,4.76,3.7,39.95,
592191,Deep Sea Diva (Secret Rare),1st Edition,,,0.3,0.04,4.86,
592192,Deep Sea Diva,1st Edition,,,0.14,0.01,3.0,
592193,Deep Sea Diva (PUR),1st Edition,,,0.61,0.3,14.0,
592194,Deep Sea Diva (UR),1st Edition,,,0.17,0.01,2.26,
592195,Swap Frog (PCR),1st Edition,,,0.91,0.49,13.9,
592196,Swap Frog (Platinum Secret Rare),1st Edition,,,2.89,2.5,49.99,
592197,Swap Frog (Quarter Century Secret Rare),1st Edition,,,7.91,7.7,39.99,
592198,Swap Frog (Secret Rare),1st Edition,,,0.39,0.06,4.99,
592199,Swap Frog,1st Edition,,,0.15,0.05,2.19,
592200,Swap Frog (PUR),1st Edition,,,1.05,0.4,14.0,
592201,Swap Frog (UR),1st Edition,,,0.15,0.01,3.0,
592202,Atlantean Dragoons (PCR),1st Edition,,,0.73,0.2,14.4,
592203,Atlantean Dragoons (Platinum Secret Rare),1st Edition,,,1.08,0.99,28.18,
592204,Atlantean Dragoons (Quarter Century Secret Rare),1st Edition,,,4.15,3.19,45.0,
592205,Atlantean Dragoons (Secret Rare),1st Edition,,,0.27,0.08,4.0,
592206,Atlantean Dragoons,1st Edition,,,0.12,0.01,1.95,
592207,Atlantean Dragoons (PUR),1st Edition,,,0.52,0.19,5.4,
592208,Atlantean Dragoons (UR),1st Edition,,,0.14,0.01,2.64,
592209,Mermail Abyssteus (PCR),1st Edition,,,0.55,0.35,13.9,
592210,Mermail Abyssteus (Platinum Secret Rare),1st Edition,,,0.97,0.5,9.84,
592211,Mermail Abyssteus (Quarter Century Secret Rare),1st Edition,,,3.38,1.79,50.0,
592212,Mermail Abyssteus (Secret Rare),1st Edition,,,0.18,0.02,4.0,
592213,Mermail Abyssteus,1st Edition,,,0.09,0.01,1.53,
592214,Mermail Abyssteus (PUR),1st Edition,,,0.4,0.25,14.0,
592215,Mermail Abyssteus (UR),1st Edition,,,0.09,0.01,2.26,
592216,"Redox, Dragon Ruler of Boulders (PCR)",1st Edition,,,1.81,1.06,14.99,
