productId,name,subType,rarity,printing,marketPrice,lowPrice,highPrice,lastUpdated
593092,Jurrac Guaiba (Platinum Secret Rare),1st Edition,,,0.46,0.1,9.99,
593093,Jurrac Guaiba (Quarter Century Secret Rare),1st Edition,,,5.32,3.0,15.94,
593094,Naturia Barkion (Platinum Secret Rare),1st Edition,,,0.48,0.25,10.0,
593095,Naturia Barkion (Quarter Century Secret Rare),1st Edition,,,5.55,5.31,39.99,
593096,Slifer the Sky Dragon (Platinum Secret Rare),1st Edition,,,3.29,2.5,19.99,
593097,Slifer the Sky Dragon (Quarter Century Secret Rare),1st Edition,,,33.29,29.8,149.95,
593098,Glow-Up Bulb (Platinum Secret Rare),1st Edition,,,1.97,0.97,20.0,
593099,Glow-Up Bulb (Quarter Century Secret Rare),1st Edition,,,18.79,11.85,49.99,
593100,Vanity's Emptiness (Platinum Secret Rare),1st Edition,,,1.11,0.8,29.99,
593101,Vanity's Emptiness (Quarter Century Secret Rare),1st Edition,,,11.77,8.97,39.99,
593102,Genex Ally Birdman (Platinum Secret Rare),1st Edition,,,0.27,0.03,9.88,
593103,Genex Ally Birdman (Quarter Century Secret Rare),1st Edition,,,3.25,2.32,40.0,
593104,Dragon Ravine (Platinum Secret Rare),1st Edition,,,1.34,1.29,14.99,
593105,Dragon Ravine (Quarter Century Secret Rare),1st Edition,,,20.17,24.0,99.99,
593106,Legendary Six Samurai - Kizan (Platinum Secret Rare),1st Edition,,,2.29,1.41,11.99,
593107,Legendary Six Samurai - Kizan (Quarter Century Secret Rare),1st Edition,,,17.92,15.99,28.73,
593108,Legendary Six Samurai - Shi En (Platinum Secret Rare),1st Edition,,,0.93,0.6,19.99,
593109,Legendary Six Samurai - Shi En (Quarter Century Secret Rare),1st Edition,,,6.38,6.38,19.98,
593110,Reborn Tengu (Platinum Secret Rare),1st Edition,,,0.8,0.53,9.99,
593111,Reborn Tengu (Quarter Century Secret Rare),1st Edition,,,8.04,6.49,20.21,
593112,Master Hyperion (Platinum Secret Rare),1st Edition,,,0.34,0.08,8.18,
593113,Master Hyperion (Quarter Century Secret Rare),1st Edition,,,5.77,3.5,39.99,
593114,Miracle Contact (Platinum Secret Rare),1st Edition,,,0.48,0.15,7.21,
593115,Miracle Contact (Quarter Century Secret Rare),1st Edition,,,5.48,5.88,28.88,
593116,"Reactan, Dragon Ruler of Pebbles (Platinum Secret Rare)",1st Edition,,,0.66,0.28,20.0,
593117,"Reactan, Dragon Ruler of Pebbles (Quarter Century Secret Rare)",1st Edition,,,10.89,13.0,75.0,
593118,"Stream, Dragon Ruler of Droplets (Platinum Secret Rare)",1st Edition,,,0.67,0.49,15.0,
593119,"Stream, Dragon Ruler of Droplets (Quarter Century Secret Rare)",1st Edition,,,10.96,9.7,50.0,
593120,"Burner, Dragon Ruler of Sparks (Platinum Secret Rare)",1st Edition,,,0.64,0.05,19.75,
593121,"Burner, Dragon Ruler of Sparks (Quarter Century Secret Rare)",1st Edition,,,10.05,9.0,69.99,
593122,"Lightning, Dragon Ruler of Drafts (Platinum Secret Rare)",1st Edition,,,0.76,0.25,15.0,
593123,"Lightning, Dragon Ruler of Drafts (Quarter Century Secret Rare)",1st Edition,,,14.42,14.07,80.0,
593124,Dark Magician Girl the Dragon Knight (Platinum Secret Rare),1st Edition,,,4.21,3.79,24.99,
593125,Dark Magician Girl the Dragon Knight (Quarter Century Secret Rare),1st Edition,,,36.89,29.0,120.0,
593126,"Shurit, Strategist of the Nekroz (Platinum Secret Rare)",1st Edition,,,0.75,0.45,9.99,
593127,"Shurit, Strategist of the Nekroz (Quarter Century Secret Rare)",1st Edition,,,7.06,5.0,35.0,
593128,Nekroz of Brionac (Platinum Secret Rare),1st Edition,,,2.71,2.11,15.0,
593129,Nekroz of Brionac (Quarter Century Secret Rare),1st Edition,,,22.97,17.31,99.99,
593130,Nekroz of Trishula (Platinum Secret Rare),1st Edition,,,0.62,0.28,10.0,
593131,Nekroz of Trishula (Quarter Century Secret Rare),1st Edition,,,4.43,3.5,35.0,
593132,Nekroz of Unicore (Platinum Secret Rare),1st Edition,,,1.03,0.25,8.18,
593133,Nekroz of Unicore (Quarter Century Secret Rare),1st Edition,,,11.05,9.95,49.99,
593134,Nekroz of Valkyrus (Platinum Secret Rare),1st Edition,,,0.68,0.36,20.0,
593135,Nekroz of Valkyrus (Quarter Century Secret Rare),1st Edition,,,7.0,6.95,19.99,
593136,Anti-Magic Arrows (Platinum Secret Rare),1st Edition,,,0.57,0.1,9.99,
593137,Anti-Magic Arrows (Quarter Century Secret Rare),1st Edition,,,5.24,3.5,24.99,
593138,Card of Demise (Platinum Secret Rare),1st Edition,,,1.05,0.7,9.99,
593139,Card of Demise (Quarter Century Secret Rare),1st Edition,,,9.74,8.47,40.0,
593140,Palladium Oracle Mahad (Platinum Secret Rare),1st Edition,,,1.63,1.25,9.99,
593141,Palladium Oracle Mahad (Quarter Century Secret Rare),1st Edition,,,5.96,5.96,30.0,
593142,Full Force Virus (Platinum Secret Rare),1st Edition,,,0.45,0.15,9.88,
593143,Full Force Virus (Quarter Century Secret Rare),1st Edition,,,6.88,4.68,24.99,
593144,Dark Magician the Dragon Knight (Platinum Secret Rare),1st Edition,,,2.75,2.19,24.99,
593145,Dark Magician the Dragon Knight (Quarter Century Secret Rare),1st Edition,,,27.07,24.97,85.78,
593146,Sky Striker Mobilize - Engage! (Platinum Secret Rare),1st Edition,,,5.25,3.5,33.0,
593147,Sky Striker Mobilize - Engage! (Quarter Century Secret Rare),1st Edition,,,91.22,73.0,128.45,
593148,Fusion Destiny (Platinum Secret Rare),1st Edition,,,1.11,0.61,8.91,
593149,Fusion Destiny (Quarter Century Secret Rare),1st Edition,,,28.62,22.57,99.0,
593150,Soul Servant (Platinum Secret Rare),1st Edition,,,9.57,6.79,35.0,
593151,Soul Servant (Quarter Century Secret Rare),1st Edition,,,38.06,36.0,188.88,
593152,Toon Black Luster Soldier (Platinum Secret Rare),1st Edition,,,4.97,4.0,19.99,
593153,Toon Black Luster Soldier (Quarter Century Secret Rare),1st Edition,,,13.18,11.99,70.0,
593154,Duel Tower (Platinum Secret Rare),1st Edition,,,0.3,0.1,8.91,
593155,Duel Tower (Quarter Century Secret Rare),1st Edition,,,1.78,1.2,29.99,
593156,Sky Striker Mobilize - Linkage! (Platinum Secret Rare),1st Edition,,,6.43,3.99,15.0,
593157,Sky Striker Mobilize - Linkage! (Quarter Century Secret Rare),1st Edition,,,88.35,89.78,300.0,
593158,Duel Academy (Platinum Secret Rare),1st Edition,,,0.28,0.05,9.99,
593159,Duel Academy (Quarter Century Secret Rare),1st Edition,,,1.82,1.0,18.69,
593160,"On Your Mark, Get Set, DUEL! (Platinum Secret Rare)",1st Edition,,,0.37,0.18,8.91,
593161,"On Your Mark, Get Set, DUEL! (Quarter Century Secret Rare)",1st Edition,,,5.89,5.95,30.0,
